state,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,28.4,27.7,28.7,29.4,30.1,31.2,31.6,32.3,32,33,32.4,33.5,35.6,35.7
Alaska,23.5,23.5,24.9,25.8,27.3,27.2,26.9,25.9,27.4,25.7,28.4,29.7,29.8,31.4
Arizona,20.1,20.3,20.8,21.7,23.3,24.8,25.8,25.4,24.7,26,26.8,28.9,28.4,29
Arkansas,25.2,25,26.4,27,28.1,28.6,30.1,30.6,30.9,34.5,34.6,35.9,34.5,35.7
California,23.2,21.5,22.7,22.7,23.1,23.6,24.4,24.8,23.8,25,24.1,24.7,24.2,25
Colorado,16,16.4,16.9,17.6,18.4,18.9,19.1,19.8,20.7,20.5,21.3,21.3,20.2,22.3
Connecticut,19.1,18.6,19.6,20.1,20.8,21.3,21.4,21.8,24.5,25.6,25,26.3,25.3,26
Delaware,24,22.5,22.8,23.6,25.9,27.3,27.9,20,28.8,26.9,31.1,30.7,29.7,30.7
District of Columbia,20.3,21.2,21.5,22.2,22.1,22.3,21.5,21.7,23.7,21.9,22.9,21.7,22.1,22.6
Florida,19.9,20.7,21.8,22.9,23.3,24.1,25.1,26.1,26.6,25.2,26.4,26.2,26.8,27.4
Georgia,25.2,24.5,25.5,26.1,27.5,27.9,28.1,28.7,28,29.1,30.3,30.5,30.7,31.4
Hawaii,16.4,18.8,18.2,20.1,20.7,21.8,22.6,23.1,21.8,23.6,21.8,22.1,22.7,23.8
Idaho,21.8,20.9,22.4,23.2,24.6,24.8,25.1,25.7,27,26.8,29.6,28.9,28.6,27.4
Illinois,23.2,22.9,23.9,24.4,25.3,25.9,26.6,27.7,27.1,28.1,29.4,29.3,30.8,31.6
Indiana,26,25.2,26.2,26.8,27.5,27.4,28.1,29.1,30.8,31.4,31.8,32.7,31.3,32.5
Iowa,23.9,23.4,24.3,24.9,26.3,26.7,27.6,28.1,29,30.4,31.3,30.9,32.1,32
Kansas,22.6,22.9,23.2,24.3,25.8,27.2,28.2,29,29.6,29.9,30,31.3,34.2,31.2
Kentucky,24.8,25.3,26.7,27.5,28.4,29,27.6,31.5 ,30.4,31.3,33.2,31.6,34.6,34.2
Louisiana,19.9,25.8,27.4,28.2,29.5,28.9,31.2,31.6,33.4,34.7,33.1,34.9,36.2,35.5
Maine,21.5,21.3,22,23,23.7,24.7,25.8,26.5,27.8,28.4,28.9,28.2,30,29.9
Maryland,16.8,21.7,23.4,24.4,25.2,26,26.6,27.1,28.3,27.6,28.3,29.6,28.9,29.9
Massachusetts,25.2,17.8,18.6,19.8,20.9,21.2,21.7,22.3,22.7,22.9,23.6,23.3,24.3,23.6
Michigan,23,25.3,25.6,26.8,27.7,28.8,29.4,30.5,31.3,31.1,31.5,30.7,31.2,32.5
Minnesota,28.1,22.6,23.1,23.7,24.8,25.3,25.5,25.3,25.7,25.7,25.5,27.6,26.1,27.8
Mississippi,23.6,28.1,29.5,30.6,31.7,32.5,33.8,34.4,34.9,34.6,35.1,35.5,35.6,37.3
Missouri,23,23.9,25.2,26.3,27.4,28.1,29.3,30.3,30.3,29.6,30.4,30.2,32.4,31.7
Montana,18.8,19.1,19.9,20.7,21.7,22.7,23.5,23.8,24.6,24.3,24.6,26.4,23.6,25.5
Nebraska,23.9,23.4,24.4,25.4,26.5,26.9,27.3,27.6,28.4,28.6,29.6,30.2,31.4,32
Nevada,21.2,21.3,21,22.5,23.6,25.1,25.6,25,24.5,26.2,26.2,27.7,26.7,25.8
New Hampshire,20.2,19.9,21.7,22.4,23.6,24.1,25.4,25.6,26.2,27.3,26.7,27.4,26.3,26.6
New Jersey,20.1,20.3,21.4,22.2,23.6,23.4,23.9,24.1,23.7,24.6,26.3,26.9,25.6,27.4
New Mexico,20.2,20.5,21.2,22,22.9,24.6,25.5,25.6,26.3,27.1,26.4,28.4,28.8,28.3
New York,20.9,21.2,21.7,22.4,23.5,24.5,25.1,24.7,24.5,23.6,25.4,27,25,25.5
North Carolina,24,23.9,24.7,25.6,27.1,28.3,29.4,29.4,29.1,29.6,29.4,29.7,30.1,31.8
North Dakota,23.7,23.9,24.6,25.1,25.9,26.7,27.7,28,27.8,29.7,31,32.2,31,31.9
Ohio,24.9,24.4,24.9,26,26.9,28.6,29,29.6,29.6,30.1,30.4,32.6,29.8,31.5
Oklahoma,24.4,24.1,25.4,26.8,28.1,29.5,30.6,31.4,31.1,32.2,32.5,33,33.9,32.8
Oregon,21.5,21,22.2,23.3,25,25.4,25,25.4,26.7,27.3,26.5,27.9,30.1,28.7
Pennsylvania,23.6,24,24.5,24.5,25.7,26.7,28.1,28.5,28.6,29.1,30,30.2,30,30.3
Rhode Island,18.4,18.6,19.5,20.5,21.4,21.7,22.9,24.3,25.4,25.7,27.3,27,26,26.6
South Carolina,24.5,25.1,26.2,27.8,29.2,29.7,29.9,30.9,30.8,31.6,31.7,32.1,31.7,32.3
South Dakota,22.9,22.6,24,24.9,26.1,26.9,28.5,28.7,28.1,28.1,29.9,29.8,30.4,29.6
Tennessee,25,25.6,26.6,27.8,29,30.2,31.6,31.9,29.2,31.1,33.7,31.2,33.8,34.8
Texas,24.6,25.3,25.8,26.3,27.2,27.9,29,30.1,30.4,29.2,30.9,31.9,32.4,33.7
Utah,20.8,19.6,20.8,21.1,21.8,22.5,23.2,23.4,24.4,24.3,24.1,25.7,24.5,25.4
Vermont,19.6,19.1,19.5,20,21.1,22.1,22.8,23.5,25.4,23.7,24.7,24.8,25.1,27.1
Virginia,21.7,22.9,23.3,24.5,25.2,25.4,25.5,25.9,29.2,27.4,27.2,28.5,29.2,29
Washington,21.7,21.7,22.4,23.2,24.5,25.4,26.3,26.4,26.5,26.8,27.2,27.3,26.4,28.6
West Virginia,27.7,27.6,28.6,29.8,30.6,31.1,31.3,32.2,32.4,33.8,35.1,35.7,35.6,37.7
Wisconsin,20.9,21.9,22.9,24.8,25.5,26,26.9,27.4,27.7,29.7,29.8,31.2,30.7,30.7
Wyoming,20.1,20.1,21.7,22.8,24,24.3,25,25.4,25,24.6,27.8,29.5,29,27.7
